OBJIDsic,LAT,LON,GeodAREA,taxCount,region_id,code,name,island,tdwg4,tdwg4_name,tdwg3,tdwg2,tdwg1,tdwg1_name,country_IS,country,completeness,completeness_judge,ref_id,tnorm
"721",-33.6788011173,-70.1501813203,5988.59813379,"46","211",CHL.CD,Cordillera,"0",CLC-SA,Santiago,CLC,"85","8",Southern America,CHL,Chile,"2","0","45",0.768
"722",-42.6251647293,-73.8917319003,8464.40655998,"152","212",CHL.CE,ChiloΓ©,"0",CLS-LL,Los Lagos,CLS,"85","8",Southern America,CHL,Chile,"2","0","45",1.796
"723",-31.7000279971,-71.0177271034,10239.461233,"92","213",CHL.CH,Choapa,"0",CLC-CO,Coquimbo,CLC,"85","8",Southern America,CHL,Chile,"2","0","45",0.898
"724",-45.0961073072,-71.8403359935,9891.52723662,"6","214",CHL.CI,Coihaique,"0",CLS-AI,Aisβn,CLS,"85","8",Southern America,CHL,Chile,"2","0","45",0.061
"725",-34.7086685099,-71.0675844917,5461.19172036,"100","215",CHL.CL,Colchagua,"0",CLC-OH,O'Higgins,CLC,"85","8",Southern America,CHL,Chile,"2","0","45",1.831
"726",-36.8923455532,-72.8870100827,3373.05599157,"232","216",CHL.CN,ConcepciΓ³n,"0",CLC-BI,BiobΒ‘o,CLC,"85","8",Southern America,CHL,Chile,"2","0","45",6.878
"727",-27.52940299,-69.9153407151,31235.1936134,"55","217",CHL.CO,CopiapΓ³,"0",CLN-AT,Atacama,CLN,"85","8",Southern America,CHL,Chile,"2","0","45",0.176
"728",-47.9429070366,-73.7656283776,23032.379188,"3","218",CHL.CP,CapitΓ‘n Prat,"0",CLS-AI,Aisβn,CLS,"85","8",Southern America,CHL,Chile,"2","0","45",0.013
"729",-35.9409697779,-72.3696532767,2833.44651852,"81","219",CHL.CQ,Cauquenes,"0",CLC-MA,Maule,CLC,"85","8",Southern America,CHL,Chile,"2","0","45",2.859
"730",-38.9183118249,-72.438265311,18724.6745676,"252","221",CHL.CT,CautΓ­n,"0",CLC-LA,La Araucania,CLC,"85","8",Southern America,CHL,Chile,"2","0","45",1.346
"731",-35.0905160735,-71.1453239647,7318.24412979,"158","222",CHL.CU,CuricΓ³,"0",CLC-MA,Maule,CLC,"85","8",Southern America,CHL,Chile,"2","0","45",2.159
"732",-22.7605713011,-68.2226600408,42102.0729829,"45","223",CHL.EL,El Loa,"0",CLN-AN,Antofagasta,CLN,"85","8",Southern America,CHL,Chile,"2","0","45",0.107
"733",-29.8384761322,-70.7437907339,16892.0624198,"86","224",CHL.EQ,Elqui,"0",CLC-CO,Coquimbo,CLC,"85","8",Southern America,CHL,Chile,"2","0","45",0.509
"734",-46.5711463115,-72.3266084432,7165.57280031,"6","225",CHL.GC,General Carrera,"0",CLS-AI,Aisβn,CLS,"85","8",Southern America,CHL,Chile,"2","0","45",0.084
"735",-28.7964948443,-70.5504660769,18174.4714386,"84","226",CHL.HU,Huasco,"0",CLN-AT,Atacama,CLN,"85","8",Southern America,CHL,Chile,"2","0","45",0.462
"736",-20.2017560668,-69.4102145472,40112.3590385,"41","227",CHL.IE,Iquique,"0",CLN-TA,Tarapaca,CLN,"85","8",Southern America,CHL,Chile,"2","0","45",0.102
"737",-32.7982845923,-70.3522733299,3227.46516207,"83","228",CHL.LA,Los Andes,"0",CLC-VA,ValparaΒ‘so,CLC,"85","8",Southern America,CHL,Chile,"2","0","45",2.572
"738",-41.3674802647,-72.817439244,14394.204024,"95","229",CHL.LL,Llanquihue,"0",CLS-LL,Los Lagos,CLS,"85","8",Southern America,CHL,Chile,"2","0","45",0.660
"739",-30.7883896617,-70.9711297764,12429.1008452,"111","230",CHL.LM,LimarΓ­,"0",CLC-CO,Coquimbo,CLC,"85","8",Southern America,CHL,Chile,"2","0","45",0.893
"740",-36.0291119259,-71.4693719704,9339.6174763,"140","231",CHL.LN,Linares,"0",CLC-MA,Maule,CLC,"85","8",Southern America,CHL,Chile,"2","0","45",1.499
