OBJIDsic,LAT,LON,GeodAREA,taxCount,region_id,code,name,island,tdwg4,tdwg4_name,tdwg3,tdwg2,tdwg1,tdwg1_name,country_IS,country
1251,-5.116641108,53.31233649,0.314566354,25,719,SYC.REM,"Remire, Seychelles",1,SEY-OO,Seychelles,SEY,29,2,Africa,SYC,Seychelles
1252,-7.156718174,52.73813403,0.721648586,4,720,SYC.SFR,"St Francois, Seychelles",1,SEY-OO,Seychelles,SEY,29,2,Africa,SYC,Seychelles
1253,-4.487210699,55.23066488,20.55094331,133,721,SYC.SIL,"Silhouette, Seychelles",1,SEY-OO,Seychelles,SEY,29,2,Africa,SYC,Seychelles
1254,-5.437121361,53.35811905,1.581776843,16,722,SYC.SJO,"St Joseph, Seychelles",1,SEY-OO,Seychelles,SEY,29,2,Africa,SYC,Seychelles
1255,-9.331684433,50.72751427,1.877705806,10,723,SYC.STP,"St Pierre, Seychelles",1,SEY-OO,Seychelles,SEY,29,2,Africa,SYC,Seychelles
1256,-4.674043544,55.40132488,0.863156064,51,724,SYC.THE,"Therese, Seychelles",1,SEY-OO,Seychelles,SEY,29,2,Africa,SYC,Seychelles
1258,8.542125474,0.965599854,55956.21863,71,726,TGO,Togo,0,TOG-OO,Togo,TOG,22,2,Africa,TGO,Togo
1261,34.1034924,9.567266778,156557.8644,136,729,TUN,Tunisia,0,TUN-OO,Tunisia,TUN,20,2,Africa,TUN,Tunisia
1264,-6.29028032,34.82385942,938449.2498,774,732,TZA,United Republic of Tanzania,0,TAN-OO,Tanzania,TAN,25,2,Africa,TZA,"Tanzania, United Republic of"
1265,1.281853432,32.37819379,244557.2851,263,733,UGA,Uganda,0,UGA-OO,Uganda,UGA,25,2,Africa,UGA,Uganda
1335,-32.14188653,26.46742264,170114.7899,1129,819,ZAF.EC,Eastern Cape,0,CPP-EC,Eastern Cape Province,CPP,27,2,Africa,ZAF,South Africa
1336,-28.61011743,26.86447468,129989.7529,661,820,ZAF.FS,Orange Free State,0,OFS-OO,Free State,OFS,27,2,Africa,ZAF,South Africa
1337,-26.04529781,28.20922868,18631.63433,846,821,ZAF.GA,Gauteng,0,TVL-GA,Gauteng,TVL,27,2,Africa,ZAF,South Africa
1338,-28.70838637,30.72497718,92709.17431,1143,822,ZAF.KZN,KwaZulu-Natal,0,NAT-OO,KwaZulu-Natal,NAT,27,2,Africa,ZAF,South Africa
1339,-23.73722739,29.31278343,122679.1602,667,823,ZAF.LI,Limpopo,0,TVL-NP,Northern Province,TVL,27,2,Africa,ZAF,South Africa
1341,-25.86612623,30.23704773,78144.90118,829,825,ZAF.MP,Mpumalanga,0,TVL-MP,Mpumalanga,TVL,27,2,Africa,ZAF,South Africa
1342,-29.52579793,21.3470615,362330.4897,511,826,ZAF.NC,Northern Cape,0,CPP-NC,Northern Cape Province,CPP,27,2,Africa,ZAF,South Africa
1343,-26.3189833,25.33597059,116289.6817,545,827,ZAF.NW,North West,0,TVL-NW,North-West Province,TVL,27,2,Africa,ZAF,South Africa
1345,-33.01143577,20.61418282,129053.3171,1032,829,ZAF.WC,Western Cape,0,CPP-WC,Western Cape Province,CPP,27,2,Africa,ZAF,South Africa
1346,-14.17656919,28.60664221,94183.65053,36,830,ZMB.CE,Central,0,ZAM-OO,Zambia,ZAM,26,2,Africa,ZMB,Zambia
1347,-13.12066802,27.85093214,31465.20341,43,831,ZMB.CO,Copperbelt,0,ZAM-OO,Zambia,ZAM,26,2,Africa,ZMB,Zambia
1348,-12.96591356,32.13953488,69163.13596,53,832,ZMB.EA,Eastern,0,ZAM-OO,Zambia,ZAM,26,2,Africa,ZMB,Zambia
1349,-10.69979427,29.20766359,49193.1667,20,833,ZMB.LP,Luapula,0,ZAM-OO,Zambia,ZAM,26,2,Africa,ZMB,Zambia
1350,-15.35994803,29.19970066,22507.68562,77,834,ZMB.LS,Lusaka,0,ZAM-OO,Zambia,ZAM,26,2,Africa,ZMB,Zambia
1351,-10.4895548,31.16076818,147563.8107,68,835,ZMB.NO,Northern,0,ZAM-OO,Zambia,ZAM,26,2,Africa,ZMB,Zambia
1352,-13.02797842,25.06027622,125251.4853,34,836,ZMB.NW,North-western,0,ZAM-OO,Zambia,ZAM,26,2,Africa,ZMB,Zambia
1353,-16.58445595,26.66622765,85441.65911,70,837,ZMB.SO,Southern,0,ZAM-OO,Zambia,ZAM,26,2,Africa,ZMB,Zambia
1354,-15.64159231,23.68037677,127150.41,32,838,ZMB.WE,Western,0,ZAM-OO,Zambia,ZAM,26,2,Africa,ZMB,Zambia
1355,-18.64923362,30.52403176,68782.75657,196,839,ZWE.C,Central region,0,ZIM-OO,Zimbabwe,ZIM,26,2,Africa,ZWE,Zimbabwe
1356,-19.15938447,32.5721123,25365.10266,191,840,ZWE.E,Eastern region,0,ZIM-OO,Zimbabwe,ZIM,26,2,Africa,ZWE,Zimbabwe
1357,-17.09611649,29.95597783,109575.2037,112,841,ZWE.N,Northern region,0,ZIM-OO,Zimbabwe,ZIM,26,2,Africa,ZWE,Zimbabwe
1358,-20.90772501,30.72946535,93679.34344,96,842,ZWE.S,Southern region,0,ZIM-OO,Zimbabwe,ZIM,26,2,Africa,ZWE,Zimbabwe
1359,-19.49231176,27.67480023,92462.2035,117,843,ZWE.W,Western region,0,ZIM-OO,Zimbabwe,ZIM,26,2,Africa,ZWE,Zimbabwe
1205,0.456985843,6.736588311,1142.076819,384,673,STP,Sao Tome and Principe,1,000-06,Sao Tome and Principe,GGI,23,2,Africa,STP,Sao Tome and Principe
826,11.7498223,42.57794604,21434.29409,29,317,DJI,Djibouti,0,DJI-OO,Djibouti,DJI,24,2,Africa,DJI,Djibouti
1389,-12.82399148,45.14392094,371.4236196,1,999,FRA.MAY,Mayotte,1,COM-MA,Mayotte,COM,29,2,Africa,MYT,Mayotte
