OBJIDsic,Region_unique,yearGDP,GDPpcRegion
1225,SYC_Cousine_1225,2010,10805.10
1224,SYC_Cousin_1224,,uninhabited
1223,SYC_Cosmoledo_1223,,uninhabited
1222,SYC_Conception_1222,2010,10805.10
1221,SYC_Coetivy_1221,2010,10805.10
1220,SYC_Cocos_1220,,uninhabited
1219,SYC_Booby_Island_1219,,uninhabited
1218,SYC_Bird_1218,2010,10805.10
1217,SYC_Astove_1217,,uninhabited
1216,SYC_Assumption_1216,2010,10805.10
1215,SYC_Aride_1215,2010,10805.10
1214,SYC_Alphonse_1214,2010,10805.10
1213,SYC_Aldabra_1213,,uninhabited
1212,SYC_African_Banks_1212,,uninhabited
1211,SXM_St_Martin_1211,2010,31299.30
1210,SWZ_Swaziland_1210,2010,2956.70
1209,SWE_Sweden_1209,2010,36132.56
1208,SVN_Slovenia_1208,2010,24901.65
1207,SVK_Slovakia_1207,2010,19288.38
1206,SUR_Suriname_1206,2010,8321.10
498,SUPRA_Western_Transcaucasia_498,,
495,SUPRA_Western_and_Central_Sahara_495,,
474,SUPRA_Upper_Tobol_474,,13222.71
472,SUPRA_Upper_Dnieper_472,,
462,SUPRA_Tropical_Africa_462,,
459,SUPRA_Transvolga_Area_459,,12817.58
456,SUPRA_Tien_Shan_456,,2732.55
438,SUPRA_Syr_Darya_foothills_438,,2367.50
428,SUPRA_Southern_Transcaucasia_428,,3093.76
426,SUPRA_Southern_Africa_426,,
424,SUPRA_South_Caucasus_424,,
352,SUPRA_Pamir_Altai_352,,1303.05
285,SUPRA_Middle_Dnieper_285,,6059.12
263,SUPRA_Lower_Volga_263,,12900.15
253,SUPRA_Lesser_Antilles_253,,
224,SUPRA_Kazyl_Kum_224,,1828.53
201,SUPRA_Irtysh_201,,13051.61
176,SUPRA_Hispaniola_Dominican_Republic_Haiti_176,,
167,SUPRA_Guianas_Guyana_Surinam_French_Guiana_167,,
131,SUPRA_Europe_131,,
125,SUPRA_Eastern_Transcaucasia_125,,4779.04
48,SUPRA_Borneo_48,,
42,SUPRA_Bessarabia_42,2010,3845.60
39,SUPRA_Baltic_States_Area_39,,
21,SUPRA_Arabia_Saudi_Arabia_Yemen_Oman_United_Arab_Emirates_Qatar_Bahrein_Kuwait_21,,
8,SUPRA_Amu_Darya_foothills_8,2005,1906.57
1177,SUPRA_Altai_1177,2010,6244.00
1205,STP_Sao_Tome_and_Principe_1205,2010,1128.00
408,STP_Sao_Tome_408,2010,2687.90
366,STP_Principe_366,2010,2687.90
427,SSI_Southern_Shetland_Islands_427,,
487,SRB_Vojvodina_487,2002,6098.67
412,SRB_Serbia_412,2002,6098.67
1203,SOM_Somalia_1203,2010,111.00
128,SLV_El_Salvador_128,2010,6167.54
1202,SLE_Sierra_Leone_1202,2005,727.10
419,SLB_Solomon_Islands_419,2010,1275.70
1196,SGP_Singapore_1196,2010,46596.70
1195,SEN_Senegal_1195,2005,1415.50
1194,SDN_Sudan_inkl_SdSudan_1194,2010,1580.15
1193,SAU_Saudi_Arabia_1193,2010,19326.60
1192,RWA_Rwanda_1192,2010,526.00
504,RUS_Zeya_Bureya_504,2010,15062.00
1171,RUS_Zelenyj_1171,,uninhabited
1188,RUS_Zabaykalsky_Krai_1188,2010,8699.15
501,RUS_Yenisei_501,2010,15062.00
492,RUS_West_Altai_492,2010,7348.98
1191,RUS_Voronezh_District_1191,2010,8369.43
489,RUS_Volga_Kama_489,2010,15062.00
488,RUS_Volga_Don_488,2010,15062.00
478,RUS_Ussuri_478,2010,15510.60
1169,RUS_Ushishir_1169,,uninhabited
1168,RUS_Urup_1168,,uninhabited
475,RUS_Upper_Volga_475,2010,15062.00
470,RUS_Uda_River_Area_470,2010,15510.60
1190,RUS_Tver_District_1190,2010,9571.78
1189,RUS_Tula_1189,2010,9052.44
1187,RUS_Tomsk_Oblast_1187,2010,16179.42
1167,RUS_Tanfilyeva_1167,,uninhabited
1166,RUS_Storozhevoy_1166,,uninhabited
1165,RUS_Shumushu_1165,2010,18744.00
1163,RUS_Shimushir_1163,,uninhabited
1164,RUS_Shikotan_1164,2010,18744.00
381,RUS_Salair_381,2010,7348.98
379,RUS_Sakhalin_379,2010,18744.00
1176,RUS_Ryazan_District_1176,2010,8915.79
377,RUS_Russian_Federation_European_part_377,2010,15062.00
376,RUS_Russian_Federation_376,2010,15062.00
375,RUS_Russian_Arctic_375,2010,15062.00
1186,RUS_Republic_of_Tyva_1186,2010,5911.00
1174,RUS_Republic_of_Mordovia_1174,2010,7415.00
1185,RUS_Republic_of_Khakassia_1185,2010,10460.00
1184,RUS_Republic_of_Buryatia_1184,2010,8351.00
1162,RUS_Polonskogo_1162,,uninhabited
1161,RUS_Paramushir_1161,2010,18744.00
1183,RUS_Omsk_Region_1183,2010,11142.00
327,RUS_Okhotsk_327,2010,18713.80
322,RUS_Ob_region_322,2010,15062.00
1182,RUS_Novosibirsk_Region_1182,2010,10755.00
319,RUS_Novaya_Zemlya_319,2010,15062.00
315,RUS_North_Caucasus_315,2010,15062.00
313,RUS_Nord_West_Altai_313,2010,7348.98
312,RUS_Nord_east_PreTeletsk_Altai_312,2010,6244.00
314,RUS_Nord_Altai_314,2010,6244.00
303,RUS_Nazarov_Minusinsk_Hollow_303,2010,15062.00
300,RUS_Murmansk_Area_300,2010,17501.12
298,RUS_Mountain_Shoriya_Gornaya_Shoriya_298,2010,13371.62
1175,RUS_Moscow_District_1175,2010,32714.55
1160,RUS_Matuwa_1160,,uninhabited
